,Date,Volume,Kurs,Kurs_mean_1,Kurs_mean_2,Kurs_mean_3,Kurs_std+,Kurs_std-,Einstandspreis,smaller_6_3
0,2021-10-01,36959492526,39600.681641,43891.810547,48626.81504769566,51464.896696804375,46942.242963325116,40841.378130674886,37000,
1,2021-10-02,26405455522,41292.042969,44283.8164064,48768.65926120834,51518.94385818088,47415.576239232556,41152.056573567446,37000,
2,2021-10-03,22950548222,41525.105469,44672.908558409086,48958.431718880005,51543.935424937525,47912.11330892962,41433.70380788855,37000,
3,2021-10-04,28738204927,41504.5410155,44995.21858741667,49118.65444725,51548.533123540845,48279.300440446495,41711.13673438684,37000,
4,2021-10-05,30936829914,43469.4453125,45257.92277661539,49208.73177096297,51523.728984510024,48541.76242950798,41974.083123722805,37000,
5,2021-10-06,42435587147,45916.076172,45581.652343892856,49290.49672167858,51532.579005951,48961.19471104298,42202.10997674273,37000,
6,2021-10-07,31842075157,47099.810547,45980.75338553333,49421.23942632759,51552.10997608657,49585.57288418275,42375.93388688391,37000,
7,2021-10-08,30081144601,47454.9941405,46406.62561046875,49550.63613295001,51542.84301309437,50283.516522208454,42529.734698729044,37000,
8,2021-10-09,28081699148,47163.5976565,46740.889476235294,49661.481350951624,51522.25488293521,50739.68180498364,42742.09714748695,37000,
9,2021-10-10,34176954639,47811.869141,47082.44151488889,49760.30444350001,51506.8143822273,51223.64570689764,42941.23732288014,37000,
10,2021-10-11,36904742451,48563.8300785,47889.89550791666,49885.4154239091,51515.20288098217,51901.39981588846,43878.39119994487,37000,
11,2021-10-12,35630095368,48540.6289065,48709.13812944444,50001.52223129413,51489.64059085967,52798.95774404192,44619.318514846964,37000,
12,2021-10-13,35944622965,48410.373047,49475.692274416666,50101.46707602858,51431.95386596554,53430.65657386956,45520.727974963775,37000,
13,2021-10-14,31591335859,49790.1367185,50127.30881088889,50192.149685472235,51392.060613211885,53632.344340731506,46622.27328104628,37000,
14,2021-10-15,44639142500,51568.1679685,50612.4960938889,50259.948057567584,51390.030273566685,53724.077155367006,47500.91503241079,37000,
15,2021-10-16,29527448010,52794.7089845,50952.21831611112,50357.36132826317,51379.53816611477,53847.158444547655,48057.27818767458,37000,
16,2021-10-17,25035394378,52089.1113285,51308.504991444446,50516.9814704872,51374.154675032274,54094.003315855385,48523.00666703351,37000,
17,2021-10-18,32768426725,52888.826172,51623.46213122223,50709.33432631251,51351.5141990397,54264.37035648843,48982.55390595603,37000,
18,2021-10-19,34788514253,54134.8535155,51867.19238294445,50869.61247156099,51309.01370252345,54263.39469124496,49470.99007464394,37000,
19,2021-10-20,35004469846,56038.41015650001,52071.98578572223,51005.365234511926,51177.610967676934,54248.68016095055,49895.29141049391,37000,
20,2021-10-21,39492048235,55323.0800785,52322.99717894445,51117.66270000002,51055.885801500015,54324.833029994836,50321.16132789407,37000,
21,2021-10-22,33007497760,53233.638671999994,52587.58116330557,51229.104714272755,50942.90205236568,54361.89432400225,50813.26800260889,37000,
22,2021-10-23,23091004859,52202.8164065,52841.82921019445,51344.29696194447,50860.666992308834,54278.040797654,51405.617622734906,37000,
23,2021-10-24,23468371588,52031.076172,53010.3671876389,51728.5459202667,50764.46170188407,54228.90463466287,51791.82974061493,37000,
24,2021-10-25,26759780838,53512.970703,53139.3004558889,52011.05859387781,50658.70100457859,54318.40630292051,51960.19460885729,37000,
25,2021-10-26,30077143516,53124.2226565,53196.985894250014,52259.801562622255,50549.6658781972,54383.61691401255,52010.35487448748,37000,
26,2021-10-27,37639952956,51550.7421875,53275.34592027779,52487.90559908892,50439.09101031252,54430.672281166284,52120.01955938929,37000,
27,2021-10-28,38739882231,51498.150391,53301.85785605557,52639.88072930002,50350.04345045892,54453.26158240999,52150.454129701146,37000,
28,2021-10-29,31880097022,53082.0351565,53222.18207480557,52774.52526054448,50244.1397277365,54362.11687005451,52082.24727955663,37000,
29,2021-10-30,27815652165,53303.140625,53106.80664077779,52895.60034734449,50135.26804699335,54029.29501382862,52184.31826772696,37000,
30,2021-10-31,27898987362,52986.837891,53176.77701836112,52975.73294283337,50036.7383070658,54302.61052477448,52050.943511947764,37000,
31,2021-11-01,31165444999,52823.8203125,53453.30240900001,53048.34375012225,49943.38159508443,55089.514975311235,51817.08984268879,37000,
32,2021-11-02,32598888626,53888.966797,53735.40917983334,53111.92504352226,49833.59049491027,55569.166019983895,51901.65233968278,37000,
33,2021-11-03,31101912716,53833.046875,53987.63986558334,53187.76371538892,49725.96051732912,55884.3435866482,52090.93614451848,37000,
34,2021-11-04,28225688676,53499.591797,54116.59461822223,53221.48645844448,49630.36828625626,56057.51964225032,52175.66959419414,37000,
